ID,CODIGO-BARRA,DESCRICAO,PRECO-CUSTO,PRECO-VENDA,CATEGORIA
224,,NÉCESSAIRE AZUL DE PELO,"R$ 0,00","R$ 19,90",NECESSARIE
225,,NECESSAIRE MARROM DE PELO,"R$ 0,00","R$ 19,90",NECESSARIE
226,78938847,DROPS HALLS MORANGO 28G,"R$ 0,00","R$ 2,20",DROPS
227,7891151039772,"DROPS FREEGELLS EXTRA FORTE 27,9G","R$ 0,00","R$ 1,25",DROPS
228,7891151039796,"DROPS FREEGELLS MENTA 27,9G","R$ 0,00","R$ 1,25",DROPS
229,7891151039505,"DROPS FREEGELLS MORANGO CHOC 27,6G","R$ 0,00","R$ 1,25",DROPS
230,7896451907660,DROPS ROLLY MINTY 29G,"R$ 0,66","R$ 1,50",DROPS
231,78916982,PASTILHA,"R$ 0,00","R$ 2,90",DROPS
232,7896058595512,"PIRULITO DE YOGURTE MASTIGÁVEL 11,2G DORI","R$ 0,00","R$ 0,50",PIRULITO
233,7896058595550,"PIRULITO DE FRAMBOESA MASTIGÁVEL 11,2G DORI","R$ 0,00","R$ 0,50",PIRULITO
234,7896058595574,"PIRULITO DE CHOCOLATE MASTIGÁVEL 11,2G DORI","R$ 0,00","R$ 0,50",PIRULITO
235,7898083130126,PIRULITO FUMY CHAVINHO 30G,"R$ 0,00","R$ 2,00",PIRULITO
236,,PIRULITO BIG BIG DE MORANGO 12G,"R$ 0,00","R$ 0,60",PIRULITO
237,,PIRULITO MAÇA DO AMOR DO VERMELHO,"R$ 0,00","R$ 1,50",PIRULITO
238,,PIRULITO MAÇA DO AMOR DO ROXO DE UVA,"R$ 0,00","R$ 1,50",PIRULITO
239,,MOEDINHA DE CHOCOLATE,"R$ 0,00","R$ 0,50",CHOCOLATES
240,,BOLINHA E MORANGUINHO DE CHOCOLATE,"R$ 0,00","R$ 0,50",CHOCOLATES
241,,"PASTILLE MEGA DOCILE 8,75G","R$ 0,00","R$ 0,75",DROPS
242,,PORTA RETRATO,"R$ 0,00","R$ 18,90",NECESSARIE
243,,BOLSA DE FESTA CARAMELO,"R$ 0,00","R$ 19,90",NECESSARIE
244,,BOLSA DE PALHA,"R$ 0,00","R$ 13,00",NECESSARIE
245,,CARTEIRA FEMININA PRETA,"R$ 0,00","R$ 14,90",NECESSARIE
246,7898583380014,ÁGUA COM GÁS SANTA FÉ 510ML,"R$ 1,55","R$ 3,00",SALGADINHOS
247,7898583380052,"ÁGUA MINERAL NATURAL, SANTA FÉ 510ML","R$ 1,00","R$ 3,00",SALGADINHOS
248,7894900508017,BEBIDA POWER ADE SABOR FRUTAS TROPICAIS 500ML,"R$ 0,00","R$ 6,00",SALGADINHOS
249,7897524300647,REFRIGERANTE CRISTAL DE GUARANÁ 250ML,"R$ 0,00","R$ 2,30",SALGADINHOS
250,78908901,REFRIGERANTE COCA-COLA 200ML,"R$ 1,48","R$ 2,99",SALGADINHOS
251,7897524300654,REFRIGERANTE CRISTAL DE ABACAXI 250ML,"R$ 0,00","R$ 2,30",SALGADINHOS
252,7896005309902,SUCO TIAL DE UVA 200ML,"R$ 0,00","R$ 2,50",SALGADINHOS
253,7896005309919,SUCO TIAL DE PÊSSEGO 200ML,"R$ 0,00","R$ 2,50",SALGADINHOS
254,7896590802123,BEBIDA LÁCTEA SABOR CHOCOLATE CHOCO MIL,"R$ 1,09","R$ 2,00",SALGADINHOS
255,7899970402814,BARRA DE CHOCOLATE HERSHEY'S AO LEITE 82G,"R$ 0,00","R$ 8,50",CHOCOLATES
256,7622210674395,BARRA DE CHOCOLATE SHOT LACTA 80G,"R$ 0,00","R$ 8,50",CHOCOLATES
257,7891000369098,BARRA DE CHOCOLATE CLASSIC AO LEITE 80G,"R$ 6,15","R$ 8,50",CHOCOLATES
258,,GELADINHO DO GRANDE,"R$ 0,58","R$ 1,00",BEBIDAS
259,,GELADINHO DO PEQUENO,"R$ 0,29","R$ 0,50",BEBIDAS
260,,KIT CESTA AVULSO,"R$ 0,00","R$ 26,00",CESTAS
261,7896451913500,PACOTE DE MARSHMALLOW MORANGO RECHEADO DOCILE 220G,"R$ 6,77","R$ 12,90",MARSHMALLOW
262,,SACOLINHA SURPRESA,"R$ 0,00","R$ 2,00",CESTAS
263,7897892900012,PIPOCA DOCE FERA 10G,"R$ 0,00","R$ 0,40",SALGADINHOS
264,7897291110166,PIPOCA DOCE ARITANA 10G,"R$ 0,00","R$ 0,50",SALGADINHOS
265,7898591450402,PACOTE DE MARSHMALLOW VULCÃO ROSA FINI 250G,"R$ 0,00","R$ 15,90",MARSHMALLOW
266,7898591450389,PACOTE DE MARSHMALLOW VULCÃO AZUL DA FINI 250G,"R$ 0,00","R$ 15,90",MARSHMALLOW
267,7898591459818,PACOTE DE MARSHMALLOW CORAÇÃO DA FINI 250G,"R$ 0,00","R$ 13,90",MARSHMALLOW
268,7908228802426,PACOTE DE MARSHMALLOW TORÇÃO RECHEADO DE MORANGO 250G FINI,"R$ 0,00","R$ 15,90",MARSHMALLOW
269,7898591453793,PACOTE DE MARSHMALLOW TORÇÃO AZUL FINI 250G,"R$ 0,00","R$ 15,90",MARSHMALLOW
270,7898591454844,PACOTE DE MARSHMALLOW TORÇÃO ROSA FINI 250G,"R$ 0,00","R$ 15,90",MARSHMALLOW
271,7908228805069,PACOTE DE MARSHMALLOW DE ABÓBORA FINI MARSHBOO 250G,"R$ 0,00","R$ 13,90",MARSHMALLOW
272,7898196620019,PACOTE DE GELADINHO DO MENOR COM 40 UNIDADES,"R$ 0,00","R$ 17,50",BEBIDAS
273,,CESTA PREPARA CURSOS,"R$ 0,00","R$ 90,00",CESTAS
274,,COMPRAS EM GERAL,"R$ 0,00","R$ 184,92",CESTAS
275,7896481056079,SALGADINHO FABITOS QUEIJO 50G,"R$ 0,00","R$ 2,25",SALGADINHOS
276,7898591451591,OVOS FRITOS DA FINI SAQUINHO 90G SABOR TUTTI-FRUTTI,"R$ 0,00","R$ 9,90",MARSHMALLOW
